Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	com.magshop.ns.zoo.months.12.1	 	ZOO Subscription_600_365	 	IAY	3	44.54	05/01/2014	05/01/2014	AUD	AU	AUD	626545696	69.99	 	MAG0553	Renewal	1 Year	Entertainment
APPLE	US	ACP016	PBL MEDIA PTY LTD.	QANTAS Magazine	1.3.0	1T	1	0	05/01/2014	05/01/2014	USD	PH	USD	501279725	0	 	 	 	 	Travel
APPLE	US	ACP016	PBL MEDIA PTY LTD.	QANTAS Magazine	1.3.0	7T	1	0	05/01/2014	05/01/2014	USD	MY	USD	501279725	0	 	 	 	 	Travel
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	EUR	FR	EUR	823254501	0	 	 	 	 	Lifestyle
APPLE	US	MAG1755.1	PBL MEDIA PTY LTD.	Cosmopolitan Bride Magazine Australia	1.3.8	1F	7	0	05/01/2014	05/01/2014	RUB	RU	RUB	823254501	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.zoo.1320.1	 	ZOO Weekly 1320	 	IA1	-1	23.09	05/01/2014	05/01/2014	ZAR	ZA	ZAR	622441711	-32.99	 	MAG0553	 	 	Entertainment
APPLE	US	au.com.acpmagazines.aww.subscriptions.1year	 	AWW Paid Subscription_600_365	 	IAY	-1	25.45	05/01/2014	05/01/2014	AUD	AU	AUD	471822135	-39.99	 	ACP003	Renewal	1 Year	Entertainment
APPLE	US	MAG0132	PBL MEDIA PTY LTD.	Cleo Magazine Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	USD	CL	USD	813461450	0	 	 	 	 	Lifestyle
APPLE	US	MAG0001	PBL MEDIA PTY LTD.	Magshop	2.4.1	7F	19	0	05/01/2014	05/01/2014	AUD	AU	AUD	378036778	0	 	 	 	 	Lifestyle
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	7F	2	0	05/01/2014	05/01/2014	USD	US	USD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	1F	3	0	05/01/2014	05/01/2014	USD	US	USD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	au.com.acpmagazines.aww.subscriptions.1year	 	AWW Paid Subscription_600_365	 	IAY	1	17.65	05/01/2014	05/01/2014	EUR	FR	EUR	471822135	28.99	 	ACP003	Renewal	1 Year	Entertainment
APPLE	US	au.com.acpmagazines.awwrecipes.subscriptions.1mth	 	The Australian Women’s Weekly Cookbooks Subscriptions_200_30	 	IAY	2	5.72	05/01/2014	05/01/2014	AUD	AU	AUD	617841288	8.99	 	ACP_AWW_Recipes	Renewal	1 Month	Food & Drink
APPLE	US	SKU_Bauer_Australian_Geographic	PBL MEDIA PTY LTD.	Australian Geographic Magazine	1.0.16	7T	1	0	05/01/2014	05/01/2014	USD	US	USD	661038898	0	 	 	 	 	Education
APPLE	US	com.magshop.ns.dol.months.1.1	 	Dolly Magazine Australia Subscription_200_30	 	IAY	1	0	05/01/2014	05/01/2014	EUR	IT	EUR	642290338	0	 	MAG0184	New	1 Month	Lifestyle
APPLE	US	MAG0053	PBL MEDIA PTY LTD.	Australian Geographic Outdoor Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	BR	USD	639977537	0	 	 	 	 	Lifestyle
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	1	0	05/01/2014	05/01/2014	AED	AE	AED	393065903	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.adb.1405.1	 	Australian Dirt Bike 2014-05	 	IA1	2	4.77	05/01/2014	05/01/2014	AUD	AU	AUD	733689146	7.49	 	MAG0001	 	 	Lifestyle
APPLE	US	MAG0053	PBL MEDIA PTY LTD.	Australian Geographic Outdoor Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	MY	USD	639977537	0	 	 	 	 	Lifestyle
APPLE	US	au.com.bauermedia.australiangeographic.subscriptions.1yr	 	Aus Geo Subscriptions_600_365	 	IAY	2	0	05/01/2014	05/01/2014	AUD	AU	AUD	661958406	0	 	SKU_Bauer_Australian_Geographic	New	1 Year	Education
APPLE	US	MAG2068	PBL MEDIA PTY LTD.	Women's Fitness Magazine Australia	1.3.5	1F	3	0	05/01/2014	05/01/2014	USD	US	USD	639975696	0	 	 	 	 	Health & Fitness
APPLE	US	com.magshop.ns.fit.1405.1	 	Women's Fitness 1405	 	IA1	1	3.18	05/01/2014	05/01/2014	AUD	AU	AUD	645785712	4.99	 	MAG2068	 	 	Health & Fitness
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	CHF	CH	CHF	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	KW	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	MO	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	GTRG2014	PBL MEDIA PTY LTD.	GT 2014 Restaurant Guide	1.2.5	1	4	0	05/01/2014	05/01/2014	EUR	DE	EUR	705700418	0	 	 	 	 	Food & Drink
APPLE	US	MAG0449	PBL MEDIA PTY LTD.	Street Machine Magazine	1.3.5	1F	1	0	05/01/2014	05/01/2014	GBP	GB	GBP	639978561	0	 	 	 	 	Lifestyle
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	LB	USD	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	3	0	05/01/2014	05/01/2014	EUR	NL	EUR	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	USD	PK	USD	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	1	0	05/01/2014	05/01/2014	EUR	BE	EUR	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG0553	PBL MEDIA PTY LTD.	ZOO Weekly Australia	1.3.5	1F	2	0	05/01/2014	05/01/2014	INR	IN	INR	622413964	0	 	 	 	 	Entertainment
APPLE	US	MAG1273	PBL MEDIA PTY LTD.	recipes+ Magazine	1.3.5	7F	5	0	05/01/2014	05/01/2014	USD	US	USD	574676839	0	 	 	 	 	Food & Drink
APPLE	US	MAG0958	PBL MEDIA PTY LTD.	Cosmopolitan Australia	1.4.0	7F	70	0	05/01/2014	05/01/2014	AUD	AU	AUD	639978764	0	 	 	 	 	Lifestyle
APPLE	US	au.com.bauermedia.wwmag.2014.05.issue	 	WW Mag 2014.05 - May issue	 	IA1	2	3.18	05/01/2014	05/01/2014	AUD	AU	AUD	648323945	4.99	 	SKU_Bauer_WeightWatchers	 	 	Health & Fitness
APPLE	US	com.magshop.ns.rlw.1418.1	 	Rugby League Week 1418	 	IA1	43	3.18	05/01/2014	05/01/2014	AUD	AU	AUD	738227525	4.99	 	MAG0421	 	 	Sports
APPLE	US	com.magshop.ns.rlw.1418.1	 	Rugby League Week 1418	 	IA1	8	3.49	05/01/2014	05/01/2014	NZD	NZ	NZD	738227525	4.99	 	MAG0421	 	 	Sports
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	1F	43	0	05/01/2014	05/01/2014	AUD	AU	AUD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0253	PBL MEDIA PTY LTD.	Good Health Magazine	1.3.5	1F	13	0	05/01/2014	05/01/2014	NZD	NZ	NZD	574688852	0	 	 	 	 	Health & Fitness
APPLE	US	ACP016	PBL MEDIA PTY LTD.	QANTAS Magazine	1.3.0	7T	1	0	05/01/2014	05/01/2014	USD	US	USD	501279725	0	 	 	 	 	Travel
APPLE	US	MAG0369	PBL MEDIA PTY LTD.	NW Magazine	1.3.5	7F	3	0	05/01/2014	05/01/2014	NZD	NZ	NZD	574650057	0	 	 	 	 	Entertainment
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	9	0	05/01/2014	05/01/2014	GBP	GB	GBP	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	1T	1	0	05/01/2014	05/01/2014	USD	BO	USD	393065903	0	 	 	 	 	Food & Drink
APPLE	US	com.magshop.ns.cos.1401.1	 	Cosmopolitan 1401	 	IA1	1	3.81	05/01/2014	05/01/2014	AUD	AU	AUD	643554810	5.99	 	MAG0958	 	 	Lifestyle
APPLE	US	com.magshop.ns.fit.months.6.1	 	Women's Fitness Magazine Australia Subscription_500_180	 	IAY	2	12.72	05/01/2014	05/01/2014	AUD	AU	AUD	642290333	19.99	 	MAG2068	Renewal	6 Months	Health & Fitness
APPLE	US	com.magshop.ns.shp.1307.1	 	Shop Til you Drop 1307	 	IA1	1	0	05/01/2014	05/01/2014	GBP	GB	GBP	605602147	0	FREE	MAG0430	 	 	Lifestyle
APPLE	US	au.com.bauermedia.ellemag.subs.1mth	 	ELLE Subscriptions_200_30	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	697996986	0	 	SKU_Bauer_ElleMag	New	1 Month	Lifestyle
APPLE	US	com.magshop.ns.nas.months.12.1	 	North & South Magazine Subscription_600_365	 	IAY	1	28	05/01/2014	05/01/2014	USD	US	USD	708966016	39.99	 	MAG567	New	1 Year	Lifestyle
APPLE	US	SKUTRADER_Earthmovers	PBL MEDIA PTY LTD.	Earthmovers and Excavators for iPad	1.1	1T	2	0	05/01/2014	05/01/2014	USD	US	USD	546261009	0	 	 	 	 	News
